Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs",Name,"Public Workspace Channels","Messages Posted"
2018-01-02,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,2,6
2018-01-03,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,6
2018-01-04,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2018-01-05,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8
2018-01-06,3,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,8
2018-01-07,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8
2018-01-08,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8
2018-01-09,3,3,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,2,9
2018-01-10,3,3,0,1,1,2,2,0,0,0,1,0,0,1,0.6,0,0.4,0,2,10
2018-01-11,36,36,0,36,21,36,21,28,1,0,28,0.4912,0.0175,0.4912,0.7559,0.0118,0.2324,0,4,144
2018-01-12,37,37,0,28,9,37,22,5,5,0,12,0.2273,0.2273,0.5455,0.7018,0.114,0.1842,0,4,174
2018-01-13,37,37,0,24,18,37,31,2,16,0,25,0.0465,0.3721,0.5814,0.5445,0.2199,0.2356,0,4,231
2018-01-14,37,37,0,15,9,37,34,2,0,0,11,0.1538,0,0.8462,0.7089,0,0.2911,0,4,253
2018-01-15,37,37,0,13,6,37,34,19,0,0,2,0.9048,0,0.0952,0.9706,0,0.0294,0,4,289
2018-01-16,38,38,0,28,10,38,36,14,0,0,2,0.875,0,0.125,0.9593,0,0.0407,0,4,313
2018-01-17,38,38,0,22,10,38,36,16,2,0,13,0.5161,0.0645,0.4194,0.7732,0.0412,0.1856,0,4,346
2018-01-18,38,38,0,27,11,35,32,23,7,0,66,0.2396,0.0729,0.6875,0.4983,0.0692,0.4325,0,4,451
2018-01-19,38,38,0,25,11,34,33,36,6,0,20,0.5806,0.0968,0.3226,0.7795,0.0667,0.1538,0,4,513
2018-01-20,38,38,0,20,10,34,25,26,5,0,23,0.4815,0.0926,0.4259,0.652,0.0705,0.2775,0,4,590
2018-01-21,38,38,0,19,6,34,22,20,4,0,23,0.4255,0.0851,0.4894,0.5714,0.0752,0.3534,0,4,642
2018-01-22,38,38,0,17,8,34,22,5,0,0,13,0.2778,0,0.7222,0.5283,0.0189,0.4528,0,5,662
2018-01-23,38,38,0,27,8,33,22,14,3,0,19,0.3889,0.0833,0.5278,0.7055,0.0822,0.2123,0,5,702
2018-01-24,38,38,0,22,9,32,25,24,3,0,9,0.6667,0.0833,0.25,0.8563,0.0517,0.092,0,5,765
2018-01-25,39,39,0,22,8,32,25,27,1,0,37,0.4154,0.0154,0.5692,0.635,0.01,0.355,0,5,839
2018-01-26,39,39,0,19,12,31,24,18,9,0,17,0.4091,0.2045,0.3864,0.6171,0.1657,0.2171,0,5,885
2018-01-27,39,39,0,21,8,32,22,9,4,0,38,0.1765,0.0784,0.7451,0.4565,0.0815,0.462,0,5,945
2018-01-28,39,39,0,17,5,33,22,4,0,0,15,0.2105,0,0.7895,0.5286,0,0.4714,0,5,968
2018-01-29,39,39,0,13,7,33,22,0,2,0,12,0,0.1429,0.8571,0.3696,0.1304,0.5,0,5,982
2018-01-30,39,39,0,23,13,31,23,36,8,0,66,0.3273,0.0727,0.6,0.4719,0.0825,0.4455,0,5,1105
2018-01-31,39,39,0,18,14,30,22,16,1,0,111,0.125,0.0078,0.8672,0.2847,0.0169,0.6983,0,5,1237
2018-02-01,39,39,0,26,14,30,25,23,7,0,42,0.3194,0.0972,0.5833,0.5699,0.0968,0.3333,0,5,1316
2018-02-02,39,39,0,22,8,31,24,2,12,0,22,0.0556,0.3333,0.6111,0.3628,0.2389,0.3982,0,5,1356
2018-02-03,39,39,0,21,7,29,25,33,13,0,17,0.5238,0.2063,0.2698,0.6651,0.156,0.1789,0,5,1425
2018-02-04,39,39,0,13,7,30,25,16,0,0,9,0.64,0,0.36,0.6849,0,0.3151,0,5,1455
2018-02-05,39,39,0,19,8,31,23,7,1,0,21,0.2414,0.0345,0.7241,0.5909,0.0227,0.3864,0,5,1489
2018-02-06,39,39,0,24,14,31,24,28,5,0,47,0.35,0.0625,0.5875,0.644,0.0453,0.3107,0,5,1591
2018-02-07,40,40,0,17,5,32,23,0,0,0,31,0,0,1,0.3302,0.0094,0.6604,0,5,1630
2018-02-08,40,40,0,18,11,32,22,32,0,0,28,0.5333,0,0.4667,0.7161,0.0042,0.2797,0,5,1711
2018-02-09,40,40,0,20,11,31,20,16,0,0,71,0.1839,0,0.8161,0.4008,0,0.5992,0,5,1805
2018-02-10,40,40,0,21,10,30,21,22,2,0,34,0.3793,0.0345,0.5862,0.5789,0.0351,0.386,0,5,1870
2018-02-11,40,40,0,17,9,29,20,19,0,0,121,0.1357,0,0.8643,0.2305,0.0031,0.7664,0,5,2027
2018-02-12,40,40,0,17,5,29,19,2,0,0,10,0.1667,0,0.8333,0.55,0,0.45,0,5,2039
2018-02-13,40,40,0,20,10,28,18,39,16,0,64,0.3277,0.1345,0.5378,0.5076,0.107,0.3853,0,5,2166
2018-02-14,40,40,0,22,8,29,17,14,2,0,52,0.2059,0.0294,0.7647,0.3708,0.0562,0.573,0,5,2239
2018-02-15,40,40,0,22,13,30,19,23,2,0,81,0.217,0.0189,0.7642,0.4656,0.0164,0.518,0,5,2357
2018-02-16,40,40,0,20,5,30,18,1,0,0,10,0.0909,0,0.9091,0.5,0,0.5,0,5,2369
2018-02-17,40,40,0,19,11,30,19,21,17,0,57,0.2211,0.1789,0.6,0.4235,0.1294,0.4471,0,5,2468
2018-02-18,40,40,0,16,8,28,17,20,14,0,5,0.5128,0.359,0.1282,0.5748,0.2835,0.1417,0,5,2514
2018-02-19,34,34,0,16,6,28,17,4,4,0,5,0.3077,0.3077,0.3846,0.5965,0.2105,0.193,0,5,2528
2018-02-20,34,34,0,21,11,28,20,17,3,0,24,0.3864,0.0682,0.5455,0.6093,0.053,0.3377,0,5,2574
2018-02-21,34,34,0,18,9,27,21,9,6,0,10,0.36,0.24,0.4,0.5968,0.2016,0.2016,0,5,2605
2018-02-22,34,34,0,22,13,26,21,25,5,0,43,0.3425,0.0685,0.589,0.516,0.0959,0.3881,0,5,2683
2018-02-23,34,34,0,20,11,27,22,11,10,0,166,0.0588,0.0535,0.8877,0.1654,0.0526,0.782,0,5,2885
2018-02-24,34,34,0,14,7,27,22,5,4,0,6,0.3333,0.2667,0.4,0.6167,0.2,0.1833,0,5,2903
2018-02-25,34,34,0,10,2,27,22,0,0,0,8,0,0,1,0.3667,0.0333,0.6,0,5,2911
2018-02-26,34,34,0,17,6,27,21,11,0,0,0,1,0,0,1,0,0,0,5,2922
2018-02-27,34,34,0,21,12,26,19,21,8,0,70,0.2121,0.0808,0.7071,0.3877,0.0761,0.5362,0,5,3034
2018-02-28,34,34,0,16,9,26,18,2,3,0,14,0.1053,0.1579,0.7368,0.322,0.2881,0.3898,0,5,3058
2018-03-01,34,34,0,16,7,26,16,11,2,0,0,0.8462,0.1538,0,0.8514,0.0811,0.0676,0,5,3072
2018-03-02,34,34,0,17,5,25,15,3,5,0,10,0.1667,0.2778,0.5556,0.4821,0.2143,0.3036,0,5,3092
2018-03-03,34,34,0,13,5,26,14,4,3,0,0,0.5714,0.4286,0,0.7273,0.2727,0,0,5,3099
2018-03-04,34,34,0,13,3,27,15,7,0,0,3,0.7,0,0.3,0.8065,0.0645,0.129,0,5,3109
2018-03-05,34,34,0,11,5,27,15,2,2,0,9,0.1538,0.1538,0.6923,0.4773,0.1136,0.4091,0,5,3123
2018-03-06,34,34,0,22,13,27,16,15,5,0,41,0.2459,0.082,0.6721,0.5211,0.0421,0.4368,0,5,3191
2018-03-07,34,34,0,14,6,26,16,7,0,0,4,0.6364,0,0.3636,0.7581,0,0.2419,0,5,3203
2018-03-08,34,34,0,22,12,27,17,19,5,0,36,0.3167,0.0833,0.6,0.596,0.0505,0.3535,0,5,3274
2018-03-09,34,34,0,13,7,27,18,11,5,0,64,0.1375,0.0625,0.8,0.2816,0.0287,0.6897,0,5,3356
2018-03-10,34,34,0,15,7,27,18,7,8,0,45,0.1167,0.1333,0.75,0.25,0.1328,0.6172,0,5,3419
2018-03-11,34,34,0,12,6,27,18,6,0,0,6,0.5,0,0.5,0.6038,0.0566,0.3396,0,5,3434
2018-03-12,34,34,0,13,6,27,19,14,0,0,0,1,0,0,0.9811,0,0.0189,0,5,3448
2018-03-13,34,34,0,19,7,27,19,35,3,0,8,0.7609,0.0652,0.1739,0.8235,0.0412,0.1353,0,5,3501
2018-03-14,34,34,0,17,9,27,19,29,7,0,11,0.617,0.1489,0.234,0.7179,0.1218,0.1603,0,5,3551
2018-03-15,34,34,0,21,10,27,17,21,28,0,31,0.2625,0.35,0.3875,0.5609,0.2174,0.2217,0,5,3637
2018-03-16,34,34,0,18,11,28,19,20,10,0,10,0.5,0.25,0.25,0.6818,0.1545,0.1636,0,5,3678
2018-03-17,34,34,0,15,6,28,19,13,0,0,0,1,0,0,0.9692,0.0154,0.0154,0,5,3691
2018-03-18,34,34,0,14,4,28,17,2,0,0,43,0.0444,0,0.9556,0.2703,0,0.7297,0,5,3737
2018-03-19,34,34,0,12,2,28,17,3,0,0,0,1,0,0,1,0,0,0,5,3741
2018-03-20,34,34,0,23,10,27,18,17,5,0,23,0.3778,0.1111,0.5111,0.6713,0.0769,0.2517,0,5,3786
2018-03-21,34,34,0,13,1,26,17,1,0,0,0,1,0,0,0.8571,0.0952,0.0476,0,5,3787
2018-03-22,34,34,0,10,5,26,18,0,0,0,52,0,0,1,0.0755,0,0.9245,0,5,3843
2018-03-23,34,34,0,16,5,26,17,4,0,0,12,0.25,0,0.75,0.5,0,0.5,0,5,3859
2018-03-24,34,34,0,7,4,25,16,0,0,0,3,0,0,1,0.5833,0,0.4167,0,5,3863
2018-03-25,34,34,0,2,0,25,16,0,0,0,0,0,0,0,1,0,0,0,5,3863
2018-03-26,34,34,0,17,4,25,17,5,0,0,8,0.3846,0,0.6154,0.7273,0,0.2727,0,5,3876
2018-03-27,34,34,0,21,9,26,13,10,23,0,3,0.2778,0.6389,0.0833,0.6134,0.3613,0.0252,0,5,3917
2018-03-28,34,34,0,15,10,26,16,10,6,0,24,0.25,0.15,0.6,0.3592,0.1262,0.5146,0,5,3960
2018-03-29,34,34,0,22,13,27,16,17,10,0,16,0.3953,0.2326,0.3721,0.6144,0.1503,0.2353,0,5,4009
2018-03-30,34,34,0,12,4,27,15,0,3,0,30,0,0.0909,0.9091,0.1404,0.0877,0.7719,0,5,4042
2018-03-31,34,34,0,10,4,27,15,0,0,0,3,0,0,1,0.6667,0.0952,0.2381,0,5,4046
2018-04-01,34,34,0,2,0,27,15,0,0,0,0,0,0,0,0.6667,0,0.3333,0,5,4046
2018-04-02,35,35,0,10,6,26,16,1,0,0,32,0.0303,0,0.9697,0.3086,0,0.6914,0,5,4081
2018-04-03,35,35,0,22,9,26,18,12,5,0,39,0.2143,0.0893,0.6964,0.4266,0.0909,0.4825,0,5,4140
2018-04-04,35,35,0,18,6,27,19,1,0,0,23,0.0417,0,0.9583,0.4219,0.0156,0.5625,0,5,4165
2018-04-05,35,35,0,20,7,27,15,8,0,0,22,0.2667,0,0.7333,0.5172,0.0115,0.4713,0,5,4197
2018-04-06,35,35,0,17,10,27,16,4,0,0,17,0.1905,0,0.8095,0.5714,0,0.4286,0,5,4220
